year,player,pos,age,mp
1950,Curly Armstrong,G-F,31,
1950,Cliff Barker,SG,29,
1950,Leo Barnhorst,SF,25,
1950,Ed Bartels,F,24,
1950,Ed Bartels,F,24,
1950,Ed Bartels,F,24,
1950,Ralph Beard,G,22,
1950,Gene Berce,G-F,23,
1950,Charlie Black,F-C,28,
1950,Charlie Black,F-C,28,
1950,Charlie Black,F-C,28,
1950,Nelson Bobb,PG,25,
1950,Jake Bornheimer,F-C,22,
1950,Vince Boryla,SF,22,
1950,Don Boven,F-G,24,
1950,Harry Boykoff,C,27,
1950,Joe Bradley,G,21,
1950,Bob Brannum,PF,23,
1950,Carl Braun,G-F,22,
1950,Frankie Brian,G,26,
1950,Price Brookfield,F-G,29,
1950,Bob Brown,F,26,
1950,Jim Browne,C,20,
1950,Walt Budko,PF,24,
1950,Jack Burmaster,G,23,
1950,Tommy Byrnes,F-G,26,
1950,Bill Calhoun,SG,22,
1950,Don Carlson,G-F,30,
1950,Bob Carpenter,F-C,32,
1950,Jake Carter,F-C,25,
1950,Jake Carter,F-C,25,
1950,Jake Carter,F-C,25,
1950,Al Cervi,PG,32,
1950,John Chaney,F-C,29,
1950,John Chaney,F-C,29,
1950,John Chaney,F-C,29,
1950,Leroy Chollet,F,24,
1950,Bill Closs,SF,28,
1950,Paul Cloyd,G-F,29,
1950,Paul Cloyd,G-F,29,
1950,Paul Cloyd,G-F,29,
1950,Jack Coleman,PF,25,
1950,Bobby Cook,G-F,26,
1950,Ray Corley,G,22,
1950,Jack Cotton,F-C,25,
1950,Dillard Crocker,PF,25,
1950,Chink Crossin,G,26,
1950,Fran Curran,G,27,
1950,Jimmy Darden,G,27,
1950,Bob Davies,PG,30,
1950,Hook Dillon,F,26,
1950,Earl Dodd,F,25,
1950,Joe Dolhon,G,22,
1950,Bob Doll,F-C,30,
1950,Harry Donovan,G,23,
1950,Andy Duncan,F-C,27,
1950,Dike Eddleman,SF,27,
1950,Gene Englund,F-C,32,
1950,Gene Englund,F-C,32,
1950,Gene Englund,F-C,32,
1950,Bob Evans,G,24,
1950,Johnny Ezersky,F-G,27,
1950,Johnny Ezersky,F-G,27,
1950,Johnny Ezersky,F-G,27,
1950,Bob Feerick,F-G,30,
1950,George Feigenbaum,G,21,
1950,Arnie Ferrin,F-G,24,
1950,Jerry Fleishman,SG,27,
1950,Joe Fulks,PF,28,
1950,Bill Gabor,SG,27,
1950,Elmer Gainer,F-C,31,
1950,Harry Gallatin,F-C,22,
1950,Vern Gardner,SG,24,
1950,Frank Gates,G,29,
1950,Dee Gibson,F-G,26,
1950,Hoot Gibson,F-C,28,
1950,Hoot Gibson,F-C,28,
1950,Hoot Gibson,F-C,28,
1950,Chuck Gilmur,F-C,27,
1950,Normie Glick,F,22,
1950,Paul Gordon,F,22,
1950,Joe Graboski,F-C,20,
1950,Bud Grant,F,22,
1950,Don Grate,F-G,26,
1950,Alex Groza,C,23,
1950,Al Guokas,F-G,24,
1950,Al Guokas,F-G,24,
1950,Al Guokas,F-G,24,
1950,Robert Hahn,C,24,
1950,Chick Halbert,C,30,
1950,Bruce Hale,G-F,31,
1950,Dale Hamilton,G-F,30,
1950,Alex Hannum,PF,26,
1950,John Hargis,G-F,29,
1950,Bob Harris,F-C,22,
1950,Bob Harrison,G,22,
1950,Billy Hassett,G,28,
1950,Billy Hassett,G,28,
1950,Billy Hassett,G,28,
1950,Marshall Hawkins,F,25,
1950,Bill Henry,C,25,
1950,Bill Henry,C,25,
1950,Bill Henry,C,25,
1950,Bill Herman,G,25,
1950,Kleggie Hermsen,C-F,26,
1950,Sonny Hertzberg,G,27,
1950,Paul Hoffman,G-F,24,
1950,Joe Holland,SF,24,
1950,Red Holzman,PG,29,
1950,Gene James,F,24,
1950,Howie Janotta,F,25,
1950,Tony Jaros,F-G,29,
1950,Buddy Jeannette,G,32,
1950,Arnie Johnson,SF,29,
1950,Ralph Johnson,PG,28,
1950,Ralph Johnson,PG,28,
1950,Ralph Johnson,PG,28,
1950,Wah Wah Jones,PF,23,
1950,Noble Jorgensen,C,24,
1950,George Kaftan,SF,21,
1950,Leo Katkaveck,G,26,
1950,Jack Kerris,PF,25,
1950,Jack Kerris,PF,25,
1950,Jack Kerris,PF,25,
1950,Bob Kinney,C-F,29,
1950,Walt Kirk,PG,25,
1950,Walt Kirk,PG,25,
1950,Walt Kirk,PG,25,
1950,Leo Klier,F-G,26,
1950,Duane Klueh,G,24,
1950,Duane Klueh,G,24,
1950,Duane Klueh,G,24,
1950,Lee Knorek,C,28,
1950,Milo Komenich,F-C,29,
1950,Leo Kubiak,G,22,
1950,Frank Kudelka,G-F,24,
1950,Walt Lautenbach,G-F,27,
1950,Tony Lavelli,F,23,
1950,Ed Leede,F-G,22,
1950,Andrew Levane,F-G,29,
1950,Freddie Lewis,F-G,29,
1950,Freddie Lewis,F-G,29,
1950,Freddie Lewis,F-G,29,
1950,Ron Livingstone,C,24,
1950,Ron Livingstone,C,24,
1950,Ron Livingstone,C,24,
1950,John Logan,G,29,
1950,Ray Lumpp,G,26,
1950,Ed Macauley,C-F,21,
1950,Johnny Macknowski,G-F,27,
1950,John Mahnken,C,27,
1950,John Mahnken,C,27,
1950,John Mahnken,C,27,
1950,John Mahnken,C,27,
1950,John Mandic,F-C,30,
1950,John Mandic,F-C,30,
1950,John Mandic,F-C,30,
1950,Slater Martin,PG,24,
1950,Ariel Maughan,F,26,
1950,Matt Mazza,F,26,
1950,Mike McCarron,G,27,
1950,Mike McCarron,G,27,
1950,Mike McCarron,G,27,
1950,Dick McGuire,PG,24,
1950,Bones McKinney,SF,31,
1950,Mal McMullen,F-C,22,
1950,Dick Mehen,PF,27,
1950,Ken Menke,G,27,
1950,Stan Miasek,C-F,26,
1950,Ed Mikan,C,24,
1950,Ed Mikan,C,24,
1950,Ed Mikan,C,24,
1950,George Mikan,C,25,
1950,Vern Mikkelsen,PF,21,
1950,Al Miksis,C,21,
1950,Murray Mitchell,C,26,
1950,Leo Mogus,F-C,28,
1950,Max Morris,F-C,24,
1950,Joe Mullaney,G,25,
1950,Jerry Nagel,G,21,
1950,Jack Nichols,PF,23,
1950,Jack Nichols,PF,23,
1950,Jack Nichols,PF,23,
1950,Richie Niemiera,G-F,28,
1950,Richie Niemiera,G-F,28,
1950,Richie Niemiera,G-F,28,
1950,Paul Noel,F,25,
1950,Jim Nolan,C,22,
1950,Johnny Norlander,F,28,
1950,George Nostrand,C-F,26,
1950,George Nostrand,C-F,26,
1950,George Nostrand,C-F,26,
1950,George Nostrand,C-F,26,
1950,Mike Novak,C-F,34,
1950,Mike Novak,C-F,34,
1950,Mike Novak,C-F,34,
1950,Dermie O'Connell,G,21,
1950,Dermie O'Connell,G,21,
1950,Dermie O'Connell,G,21,
1950,Andy O'Donnell,G,24,
1950,Dick O'Keefe,G-F,26,
1950,John Oldham,G,26,
1950,Gene Ollrich,G,27,
1950,Johnny Orr,F,22,
1950,Johnny Orr,F,22,
1950,Johnny Orr,F,22,
1950,Don Otten,C,28,
1950,Don Otten,C,28,
1950,Don Otten,C,28,
1950,Mac Otten,F-C,24,
1950,Mac Otten,F-C,24,
1950,Mac Otten,F-C,24,
1950,Red Owens,SG,24,
1950,Red Owens,SG,24,
1950,Red Owens,SG,24,
1950,Easy Parham,F-G,28,
1950,Jack Parkinson,G,25,
1950,Charlie Parsley,G,24,
1950,Stan Patrick,F-G,27,
1950,Stan Patrick,F-G,27,
1950,Stan Patrick,F-G,27,
1950,Johnny Payak,SG,23,
1950,Johnny Payak,SG,23,
1950,Johnny Payak,SG,23,
1950,Warren Perkins,G-F,27,
1950,Ed Peterson,C,25,
1950,Jack Phelan,F,24,
1950,Jack Phelan,F,24,
1950,Jack Phelan,F,24,
1950,Andy Phillip,G-F,27,
1950,Jim Pollard,SF,27,
1950,John Pritchard,C,23,
1950,Les Pugh,C-F,27,
1950,Don Putman,G,27,
1950,George Ratkovicz,PF,27,
1950,Don Ray,F-C,28,
1950,Chick Reiser,G-F,35,
1950,Arnie Risen,C,25,
1950,Tex Ritter,G-F,25,
1950,Bill Roberts,C,24,
1950,Red Rocha,C,26,
1950,Kenny Rollins,PG,26,
1950,Bob Royer,G,22,
1950,Jerry Rullo,G,26,
1950,Ed Sadowski,C,34,
1950,Ed Sadowski,C,34,
1950,Ed Sadowski,C,34,
1950,Kenny Sailors,G,29,
1950,Pep Saul,SG,25,
1950,Herm Schaefer,G-F,31,
1950,Marv Schatzman,F,22,
1950,Fred Schaus,F,24,
1950,Dolph Schayes,F-C,21,
1950,Milt Schoon,C,27,
1950,Howie Schultz,PF,27,
1950,Howie Schultz,PF,27,
1950,Howie Schultz,PF,27,
1950,Dick Schulz,F-G,33,
1950,Dick Schulz,F-G,33,
1950,Dick Schulz,F-G,33,
1950,Dick Schulz,F-G,33,
1950,Fred Scolari,PG,27,
1950,Wayne See,G,26,
1950,Glen Selbo,G-F,23,
1950,Rollie Seltz,G-F,26,
1950,Jim Seminoff,G-F,27,
1950,George Senesky,PG,27,
1950,Paul Seymour,G-F,22,
1950,Carl Shaeffer,F-G,25,
1950,Howie Shannon,G-F,26,
1950,Charley Shipp,G-F,36,
1950,Connie Simmons,C-F,24,
1950,Belus Smawley,SG,31,
1950,Jack Smiley,F-G,27,
1950,Jack Smiley,F-G,27,
1950,Jack Smiley,F-G,27,
1950,Chips Sobek,G-F,29,
1950,Odie Spears,SF,25,
1950,Art Spector,F,29,
1950,Ed Stanczak,F,28,
1950,Gene Stump,F-G,24,
1950,Gene Stump,F-G,24,
1950,Gene Stump,F-G,24,
1950,Mike Todorovich,F-C,26,
1950,Mike Todorovich,F-C,26,
1950,Mike Todorovich,F-C,26,
1950,Jack Toomay,C-F,27,
1950,Bob Tough,G-F,29,
1950,Bob Tough,G-F,29,
1950,Bob Tough,G-F,29,
1950,Blackie Towery,F-C,29,
1950,Dick Triptow,G-F,27,
1950,Butch van Breda Kolff,G-F,27,
1950,Gene Vance,G-F,26,
1950,Ernie Vandeweghe,F-G,21,
1950,Floyd Volker,F-C,28,
1950,Floyd Volker,F-C,28,
1950,Floyd Volker,F-C,28,
1950,Whitey Von Nieda,G-F,27,
1950,Whitey Von Nieda,G-F,27,
1950,Whitey Von Nieda,G-F,27,
1950,Clint Wager,C-F,30,
1950,Danny Wagner,G,27,
1950,Brady Walker,PF,28,
1950,Paul Walther,SG,22,
1950,Paul Walther,SG,22,
1950,Paul Walther,SG,22,
1950,Bobby Wanzer,G,28,
1950,Murray Wier,G,23,
1950,D.C. Wilcutt,G,26,
1950,Bob Wood,G,28,
1950,Max Zaslofsky,SG,24,
1951,Paul Arizin,SF,22,
1951,Curly Armstrong,G-F,32,
1951,Cliff Barker,SG,30,
1951,Leo Barnhorst,SF,26,
1951,Ed Bartels,F,25,
1951,Ed Beach,F,22,
1951,Ed Beach,F,22,
1951,Ed Beach,F,22,
1951,Ralph Beard,G,23,
1951,Leon Blevins,G,24,
1951,Nelson Bobb,PG,26,
1951,Ike Borsavage,C-F,26,
1951,Vince Boryla,SF,23,
1951,Harry Boykoff,C,28,
1951,Harry Boykoff,C,28,
1951,Harry Boykoff,C,28,
1951,Frankie Brian,G,27,
1951,Walt Budko,PF,25,
1951,Art Burris,SF,26,
1951,Tommy Byrnes,F-G,27,
1951,Tommy Byrnes,F-G,27,
1951,Tommy Byrnes,F-G,27,
1951,Tommy Byrnes,F-G,27,
1951,Gerry Calabrese,SG,25,
1951,Bill Calhoun,SG,23,
1951,Don Carlson,G-F,31,
1951,Bob Carpenter,F-C,33,
1951,Bob Carpenter,F-C,33,
1951,Bob Carpenter,F-C,33,
1951,Al Cervi,PG,33,
1951,Leroy Chollet,F,25,
1951,Cal Christensen,SF,23,
1951,Nat Clifton,PF,28,
1951,Bill Closs,SF,29,
1951,Jack Coleman,PF,26,
1951,Chuck Cooper,F,24,
1951,Ray Corley,G,23,
1951,Ray Corley,G,23,
1951,Ray Corley,G,23,
1951,Bob Cousy,PG,22,
1951,Bob Davies,PG,31,
1951,Hank DeZonie,C-F,28,
1951,Joe Dolhon,G,23,
1951,Bob Donham,SG,24,
1951,Andy Duncan,F-C,28,
1951,Dike Eddleman,SF,28,
1951,Ray Ellefson,C,28,
1951,Arnie Ferrin,F-G,25,
1951,Larry Foust,C,22,
1951,Joe Fulks,PF,29,
1951,Bill Gabor,SG,28,
1951,Harry Gallatin,F-C,23,
1951,Vern Gardner,SG,25,
1951,Ed Gayda,G-F,23,
1951,Chuck Gilmur,F-C,28,
1951,Bud Grant,F,23,
1951,Alex Groza,C,24,
1951,Chick Halbert,C,31,
1951,Chick Halbert,C,31,
1951,Chick Halbert,C,31,
1951,Bruce Hale,G-F,32,
1951,Alex Hannum,PF,27,
1951,John Hargis,G-F,30,
1951,John Hargis,G-F,30,
1951,John Hargis,G-F,30,
1951,Bob Harris,F-C,23,
1951,Bob Harris,F-C,23,
1951,Bob Harris,F-C,23,
1951,Bob Harrison,G,23,
1951,Billy Hassett,G,29,
1951,Kleggie Hermsen,C-F,27,
1951,Kleggie Hermsen,C-F,27,
1951,Kleggie Hermsen,C-F,27,
1951,Sonny Hertzberg,G,28,
1951,Paul Hoffman,G-F,25,
1951,Joe Holland,SF,25,
1951,Red Holzman,PG,30,
1951,Joe Hutton,SG,22,
1951,Gene James,F,25,
1951,Gene James,F,25,
1951,Gene James,F,25,
1951,Tony Jaros,F-G,30,
1951,Arnie Johnson,SF,30,
1951,Ralph Johnson,PG,29,
1951,Wah Wah Jones,PF,24,
1951,Noble Jorgensen,C,25,
1951,Noble Jorgensen,C,25,
1951,Noble Jorgensen,C,25,
1951,George Kaftan,SF,22,
1951,Jack Kerris,PF,26,
1951,Duane Klueh,G,25,
1951,Frank Kudelka,G-F,25,
1951,Frank Kudelka,G-F,25,
1951,Frank Kudelka,G-F,25,
1951,Tony Lavelli,F,24,
1951,Bob Lavoy,PF,24,
1951,Ed Leede,F-G,23,
1951,Ron Livingstone,C,25,
1951,Earl Lloyd,SF,22,
1951,Don Lofgran,F-C,21,
1951,Don Lofgran,F-C,21,
1951,Don Lofgran,F-C,21,
1951,John Logan,G,30,
1951,Ray Lumpp,G,27,
1951,Ed Macauley,C-F,22,
1951,Johnny Macknowski,G-F,28,
1951,Norm Mager,F,24,
1951,John Mahnken,C,28,
1951,John Mahnken,C,28,
1951,John Mahnken,C,28,
1951,Slater Martin,PG,25,
1951,Ariel Maughan,F,27,
1951,Dick McGuire,PG,25,
1951,Bones McKinney,SF,32,
1951,Bones McKinney,SF,32,
1951,Bones McKinney,SF,32,
1951,Mal McMullen,F-C,23,
1951,Joe McNamee,SF,24,
1951,Dick Mehen,PF,28,
1951,Dick Mehen,PF,28,
1951,Dick Mehen,PF,28,
1951,Dick Mehen,PF,28,
1951,Ed Mikan,C,25,
1951,Ed Mikan,C,25,
1951,Ed Mikan,C,25,
1951,Ed Mikan,C,25,
1951,George Mikan,C,26,
1951,Vern Mikkelsen,PF,22,
1951,Leo Mogus,F-C,29,
1951,Chuck Mrazovich,F,26,
1951,Ken Murray,SG,22,
1951,Ken Murray,SG,22,
1951,Ken Murray,SG,22,
1951,Jack Nichols,PF,24,
1951,Paul Noel,F,26,
1951,Johnny Norlander,F,29,
1951,Dick O'Keefe,G-F,27,
1951,Tommy O'Keefe,G,22,
1951,Tommy O'Keefe,G,22,
1951,Tommy O'Keefe,G,22,
1951,Kevin O'Shea,G,25,
1951,John Oldham,G,27,
1951,Don Otten,C,29,
1951,Don Otten,C,29,
1951,Don Otten,C,29,
1951,Don Otten,C,29,
1951,Easy Parham,F-G,29,
1951,Warren Perkins,G-F,28,
1951,Ed Peterson,C,26,
1951,Ed Peterson,C,26,
1951,Ed Peterson,C,26,
1951,Andy Phillip,G-F,28,
1951,Jim Pollard,SF,28,
1951,George Ratkovicz,PF,28,
1951,Don Rehfeldt,SF,24,
1951,Jim Riffey,F,27,
1951,Arnie Risen,C,26,
1951,Tex Ritter,G-F,26,
1951,Red Rocha,C,27,
1951,Kenny Sailors,G,30,
1951,Kenny Sailors,G,30,
1951,Kenny Sailors,G,30,
1951,Pep Saul,SG,26,
1951,Alan Sawyer,F,23,
1951,Fred Schaus,F,25,
1951,Dolph Schayes,F-C,22,
1951,Herb Scherer,C,22,
1951,Dick Schnittker,SF,22,
1951,Fred Scolari,PG,28,
1951,Fred Scolari,PG,28,
1951,Fred Scolari,PG,28,
1951,George Senesky,PG,28,
1951,Paul Seymour,G-F,23,
1951,Carl Shaeffer,F-G,26,
1951,Bill Sharman,SG,24,
1951,Connie Simmons,C-F,25,
1951,Belus Smawley,SG,32,
1951,Belus Smawley,SG,32,
1951,Belus Smawley,SG,32,
1951,Ed Stanczak,F,29,
1951,Mike Todorovich,F-C,27,
1951,Gene Vance,G-F,27,
1951,Ernie Vandeweghe,F-G,22,
1951,Brady Walker,PF,29,
1951,Brady Walker,PF,29,
1951,Brady Walker,PF,29,
1951,Paul Walther,SG,23,
1951,Bobby Wanzer,G,29,
1951,Max Zaslofsky,SG,25,
1952,Paul Arizin,SF,23,2939
1952,Cliff Barker,SG,31,494
1952,Don Barksdale,PF,28,2014
1952,Leo Barnhorst,SF,27,2344
1952,Elmer Behnke,C,22,55
1952,Charlie Black,F-C,30,117
1952,Nelson Bobb,PG,27,1192
1952,Vince Boryla,SF,24,1440
1952,Don Boven,SG,26,1982
1952,Bob Brannum,PF,25,1324
1952,Frankie Brian,SG,28,2672
1952,Stan Brown,F,22,141
1952,Walt Budko,PF,26,1126
1952,Art Burris,SF,27,514
1952,Art Burris,SF,27,245
1952,Art Burris,SF,27,269
1952,Gerry Calabrese,SG,26,937
1952,Bill Calhoun,SG,24,1594
1952,Al Cervi,PG,34,850
1952,Cal Christensen,SF,24,374
1952,Nat Clifton,PF,29,2101
1952,Bill Closs,SF,30,1120
1952,Jack Coleman,PF,27,2606
1952,Chuck Cooper,SF,25,1976
1952,Bob Cousy,PG,23,2681
1952,Dillard Crocker,PF,27,783
1952,Dillard Crocker,PF,27,23
1952,Dillard Crocker,PF,27,760
1952,Ed Dahler,F,26,112
1952,Bob Davies,PG,32,2394
1952,Nate DeLong,C,26,132
1952,Dick Dickey,PG,25,440
1952,Bob Donham,SG,25,1980
1952,Dike Eddleman,SF,29,1904
1952,Dike Eddleman,SF,29,1616
1952,Dike Eddleman,SF,29,288
1952,Jake Fendley,SG,22,651
1952,Larry Foust,C,23,2615
1952,Jerry Fowler,C,24,41
1952,Joe Fulks,PF,30,1904
1952,Bill Gabor,SG,29,1085
1952,Harry Gallatin,PF,24,1931
1952,Vern Gardner,SG,26,507
1952,Joe Graboski,C,22,2439
1952,Alex Hannum,PF,28,1508
1952,Alex Hannum,PF,28,958
1952,Alex Hannum,PF,28,550
1952,Bob Harris,PF,24,1899
1952,Bob Harrison,SG,24,1712
1952,Lew Hitch,PF,22,849
1952,Joe Holland,SF,26,737
1952,Red Holzman,PG,31,1065
1952,Mel Hutchins,C,23,2618
1952,Joe Hutton,SG,23,723
1952,Arnie Johnson,SF,31,2158
1952,Ralph Johnson,PG,30,2265
1952,Neil Johnston,C,22,993
1952,Wah Wah Jones,PF,25,1320
1952,Noble Jorgensen,C,26,1318
1952,George Kaftan,SF,23,955
1952,Jack Kerris,PF,27,2148
1952,Jack Kiley,SG,23,477
1952,George King,PG,23,1889
1952,Walt Kirk,PG,27,396
1952,Frank Kudelka,SF,26,1583
1952,Bob Lavoy,PF,25,1829
1952,Don Lofgran,SF,22,1254
1952,Ray Lumpp,SG,28,1317
1952,Ed Macauley,C,23,2631
1952,John Mahnken,C,29,581
1952,Slater Martin,PG,26,2480
1952,John McConathy,F,21,106
1952,Alfred McGuire,PG,23,788
1952,Dick McGuire,PG,26,2018
1952,Bones McKinney,SF,33,1083
1952,Joe McNamee,SF,25,695
1952,Joe McNamee,SF,25,118
1952,Joe McNamee,SF,25,577
1952,Dick Mehen,PF,29,2294
1952,Stan Miasek,PF,28,2174
1952,Ed Mikan,C,26,1781
1952,George Mikan,C,27,2572
1952,Vern Mikkelsen,PF,23,2345
1952,Dave Minor,SG,29,1558
1952,Paul Noel,F,27,32
1952,Ralph O'Brien,SG,23,1577
1952,Kevin O'Shea,PG,26,1725
1952,Kevin O'Shea,G,26,1077
1952,Kevin O'Shea,PG,26,648
1952,Wally Osterkorn,SF,23,1721
1952,Don Otten,C,30,1789
1952,Don Otten,C,30,63
1952,Don Otten,C,30,1726
1952,Red Owens,SG,26,626
1952,Red Owens,SG,26,341
1952,Red Owens,SG,26,285
1952,Mel Payton,SF,25,471
1952,Andy Phillip,SG,29,2933
1952,John Pilch,F,26,41
1952,Jim Pollard,SF,29,2545
1952,Ray Ragelis,SF,23,337
1952,Sam Ranzino,SG,23,234
1952,George Ratkovicz,PF,29,1356
1952,Don Rehfeldt,SF,25,788
1952,Don Rehfeldt,SF,25,194
1952,Don Rehfeldt,SF,25,594
1952,John Rennicke,G,22,54
1952,Arnie Risen,C,27,2396
1952,Red Rocha,C,28,2543
1952,Pep Saul,SG,27,1479
1952,Pep Saul,SG,27,720
1952,Pep Saul,SG,27,759
1952,Don Savage,F-G,23,118
1952,Fred Schaus,SF,26,2581
1952,Dolph Schayes,PF,23,2004
1952,Herb Scherer,C,23,167
1952,Howie Schultz,PF,29,1301
1952,Fred Scolari,PG,29,2242
1952,George Senesky,PG,29,1925
1952,Paul Seymour,SG,24,2209
1952,Chuck Share,C,24,882
1952,Bill Sharman,SG,25,1389
1952,Connie Simmons,C,26,1558
1952,Zeke Sinicola,G,23,15
1952,Whitey Skoog,SG,25,988
1952,Jim Slaughter,C,23,525
1952,Belus Smawley,SG,33,139
1952,Odie Spears,SF,27,1673
1952,Bill Tosheff,PG,25,2055
1952,Gene Vance,G-F,28,118
1952,Ernie Vandeweghe,SF,23,1507
1952,Brady Walker,PF,30,699
1952,Paul Walther,SG,24,1903
1952,Bobby Wanzer,SG,30,2498
1952,Bob Wilson,PG,25,1308
1952,Max Zaslofsky,SG,26,2113
1953,Jim Baechtold,SF,25,1893
1953,Don Barksdale,PF,29,2298
1953,Leo Barnhorst,SF,28,2871
1953,Nelson Bobb,PG,28,1286
1953,Vince Boryla,SF,25,2200
1953,Don Boven,SF,27,1373
1953,Don Boven,F-G,27,667
1953,Don Boven,F-G,27,329
1953,Don Boven,SF,27,377
1953,Bob Brannum,PF,26,1900
1953,Jim Brasco,G,21,248
1953,Jim Brasco,G,21,111
1953,Jim Brasco,G,21,137
1953,Carl Braun,SG,25,2316
1953,Frankie Brian,SG,29,1910
1953,Dick Bunt,PG,22,271
1953,Dick Bunt,PG,22,146
1953,Dick Bunt,PG,22,125
1953,Bill Calhoun,SF,25,2148
1953,Bill Calhoun,F-G,25,239
1953,Bill Calhoun,SF,25,1909
1953,Al Cervi,PG,35,301
1953,Cal Christensen,SF,25,777
1953,Nat Clifton,PF,30,2496
1953,Jack Coleman,PF,28,2625
1953,Gene Conley,PF,22,461
1953,Chuck Cooper,SF,26,1994
1953,Ray Corley,G,25,65
1953,Bob Cousy,PG,24,2945
1953,Dillard Crocker,PF,28,776
1953,Pete Darcey,C,22,90
1953,Bob Davies,PG,33,2216
1953,Blaine Denning,G,22,9
1953,Bob Donham,SG,26,1435
1953,Dike Eddleman,SF,30,1571
1953,George Feigenbaum,PG,24,79
1953,Jake Fendley,PG,23,380
1953,Danny Finn,SG,24,1015
1953,Jerry Fleishman,SG,30,882
1953,Larry Foust,C,24,2303
1953,Joe Fulks,PF,31,2085
1953,Bill Gabor,SG,30,1337
1953,Harry Gallatin,PF,25,2333
1953,Joe Graboski,C,23,2769
1953,Dick Groat,PG,22,663
1953,Alex Hannum,PF,29,1288
1953,Don Hanrahan,F,23,121
1953,Bob Harris,SF,25,1971
1953,Bob Harrison,SG,25,1643
1953,Don Henriksen,C,23,2263
1953,Kleggie Hermsen,C-F,29,62
1953,Kleggie Hermsen,C-F,29,22
1953,Kleggie Hermsen,C-F,29,40
1953,Lew Hitch,PF,23,1027
1953,Paul Hoffman,SG,27,1955
1953,Jim Holstein,SF,22,989
1953,Red Holzman,PG,32,392
1953,Mel Hutchins,C,24,2891
1953,Arnie Johnson,SF,32,1984
1953,Ralph Johnson,PG,31,30
1953,Neil Johnston,C,23,3166
1953,Noble Jorgensen,C,27,1355
1953,George Kaftan,SF,24,380
1953,Jack Kerris,PF,28,1424
1953,Jack Kerris,F-C,28,982
1953,Jack Kerris,PF,28,442
1953,Jack Kiley,SG,24,27
1953,George King,PG,24,2519
1953,Frank Kudelka,SG,27,567
1953,Frank Kudelka,G-F,27,227
1953,Frank Kudelka,SG,27,340
1953,Bob Lavoy,PF,26,2327
1953,Andrew Levane,SG,32,68
1953,Earl Lloyd,SF,24,1806
1953,Bob Lochmueller,SF,25,802
1953,Don Lofgran,SF,23,1788
1953,Ray Lumpp,PG,29,1422
1953,Ray Lumpp,G,29,99
1953,Ray Lumpp,PG,29,1323
1953,Ed Macauley,C,24,2902
1953,John Mahnken,C,30,771
1953,Mo Mahoney,F,25,34
1953,Slater Martin,PG,27,2556
1953,Al Masino,PG,24,1773
1953,Jack McCloskey,SG,27,16
1953,Bucky McConnell,PG,24,297
1953,Alfred McGuire,PG,24,1231
1953,Dick McGuire,PG,27,1783
1953,George McLeod,F,22,85
1953,Jack McMahon,PG,24,1665
1953,Monk Meineke,PF,22,2250
1953,Stan Miasek,SF,29,1584
1953,Stan Miasek,C-F,29,835
1953,Stan Miasek,SF,29,749
1953,Ed Mikan,C,27,927
1953,Ed Mikan,C,27,358
1953,Ed Mikan,C,27,569
1953,George Mikan,C,28,2651
1953,Vern Mikkelsen,PF,24,2465
1953,Eddie Miller,C,21,2018
1953,Eddie Miller,C,21,160
1953,Eddie Miller,C,21,1858
1953,Dave Minor,PG,30,1610
1953,Dave Minor,G-F,30,301
1953,Dave Minor,PG,30,1309
1953,Bill Mlkvy,SF,22,608
1953,Jim Mooney,SF,22,529
1953,Bob Naber,F,23,11
1953,Jack Nichols,PF,26,2626
1953,John O'Boyle,SG,24,97
1953,Ralph O'Brien,PG,24,758
1953,Ralph O'Brien,G,24,526
1953,Ralph O'Brien,G,24,50
1953,Ralph O'Brien,PG,24,182
1953,Mike O'Neill,SF,24,50
1953,Kevin O'Shea,SG,27,643
1953,Wally Osterkorn,SF,24,1016
1953,Don Otten,C,31,384
1953,Claude Overton,SG,25,182
1953,Johnny Payak,SG,26,1470
1953,Mel Payton,SF,26,1424
1953,Andy Phillip,SG-PG,30,2690
1953,Andy Phillip,PG,30,543
1953,Andy Phillip,SG,30,2147
1953,Jim Pollard,SF,30,2403
1953,Ralph Polson,PF,23,810
1953,Ralph Polson,PF,23,37
1953,Ralph Polson,PF,23,773
1953,Bob Priddy,F,22,149
1953,Moe Radovich,PG,23,33
1953,Sherwin Raiken,G,24,63
1953,George Ratkovicz,PF,30,2235
1953,George Ratkovicz,PF,30,197
1953,George Ratkovicz,PF,30,2038
1953,Gene Rhodes,SG,25,1162
1953,Arnie Risen,C,28,2288
1953,Red Rocha,C,29,2454
1953,Kenny Rollins,PG,29,426
1953,Pep Saul,SG,28,1796
1953,Fred Schaus,SF,27,2541
1953,Dolph Schayes,PF,24,2668
1953,Howie Schultz,PF,30,474
1953,Fred Scolari,PG,30,2123
1953,Fred Scolari,PG,30,1618
1953,Fred Scolari,PG,30,505
1953,George Senesky,PG,30,2336
1953,Paul Seymour,SG,25,2684
1953,Chuck Share,C,25,1044
1953,Bill Sharman,SG,26,2333
1953,Connie Simmons,C,27,1707
1953,Whitey Skoog,SG,26,996
1953,Odie Spears,SF,28,1414
1953,Dick Surhoff,SF,23,187
1953,Bill Tosheff,PG,26,2459
1953,Ernie Vandeweghe,SG,24,1745
1953,Paul Walther,SG,25,2468
1953,Bobby Wanzer,SG,31,2577
